Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
1,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1344,0.264403571,0.25891746,0,0,0,0,0,0,0,0.175477778,0.09203,0.083767446,0.286033333,0.210635042,0.85,0.85,0.709166667
2,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.15975,0.268684524,0.23818254,0,0,0,0,0,0,0,0.180311111,0.093085,0.080426511,0.2774015,0.20445916,0.85,0.85,0.709166667
3,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1778,0.265991667,0.227403175,0,0,0,0,0,0,0,0.173011111,0.100135,0.076892788,0.261811333,0.193699412,0.85,0.85,0.709166667
4,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1987,0.257980952,0.224371429,0,0,0,0,0,0,0,0.1692,0.10813,0.074011306,0.242373333,0.19077605,0.85,0.85,0.709166667
5,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.212566667,0.247227381,0.228936508,0,0,0,0,0,0,0,0.165977778,0.10799,0.07199961,0.228681,0.197426134,0.85,0.85,0.709166667
6,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.182566667,0.241144048,0.229401587,0,0,0,0,0,0,0,0.180944444,0.091255,0.07844386,0.209880167,0.200907815,0.85,0.85,0.709166667
7,0.21,0.21,0.21,0.21,0.21,0,0.015225,0,0,0,0.2089,0.245825,0.23251746,0,0,0,0.016185,0,0,0,0.179044444,0.09112,0.07622963,0.2009995,0.206601597,0.85,0.85,0.709166667
8,0.21,0.21,0.21,0.21,0.21,0.101583333,0.20168,0.016468889,0.067522333,0.030978571,0.214016667,0.240904762,0.257536508,0,0,0.104222222,0.223825,0.016454386,0.066599538,0.03451521,0.165922222,0.09414,0.07057037,0.201641667,0.209101261,0.85,0.85,0.709166667
9,0.21,0.21,0.21,0.21,0.21,0.240816667,0.361525,0.173371111,0.241913,0.196906786,0.229633333,0.243107143,0.268488889,0,0,0.245877778,0.389885,0.185907407,0.240129872,0.201810084,0.136811111,0.09974,0.068826121,0.179234,0.195829328,0.85,0.85,0.709166667
10,0.21,0.21,0.21,0.21,0.21,0.363066667,0.46893,0.326423704,0.396334667,0.364614286,0.225216667,0.25207619,0.265969841,0,0,0.364511111,0.491575,0.35895692,0.399696731,0.364393529,0.088155556,0.087695,0.054121248,0.154682833,0.159558908,0.85,0.85,0.709166667
11,0.21,0.21,0.21,0.21,0.21,0.455766667,0.54588,0.444637778,0.502011333,0.480905,0.223083333,0.266432143,0.234796825,0,0,0.443722222,0.556985,0.473304483,0.512664744,0.483572185,0.065855556,0.083965,0.049803899,0.147959333,0.121336639,0.85,0.85,0.709166667
12,0.21,0.21,0.21,0.21,0.21,0.501566667,0.563545,0.506491111,0.567566,0.544038214,0.216566667,0.261430952,0.208788889,0,0,0.500522222,0.568485,0.54072807,0.57328141,0.54903958,0.062477778,0.086175,0.040493762,0.153761667,0.094897983,0.85,0.85,0.709166667
13,0.21,0.21,0.21,0.21,0.21,0.480916667,0.530785,0.52266,0.576767667,0.562841786,0.207816667,0.240865476,0.175679365,0,0,0.495977778,0.54791,0.542338596,0.582199538,0.574270756,0.063433333,0.09219,0.041127096,0.152789333,0.083963193,0.85,0.85,0.709166667
