elec_demand_ER_p20_2024,elec_demand_NER_p20_2024,elec_demand_NR_p20_2024,elec_demand_SR_p20_2024,elec_demand_WR_p20_2024,elec_demand_ER_p20_2031,elec_demand_NER_p20_2031,elec_demand_NR_p20_2031,elec_demand_SR_p20_2031,elec_demand_WR_p20_2031,elec_demand_ER_p20_2041,elec_demand_NER_p20_2041,elec_demand_NR_p20_2041,elec_demand_SR_p20_2041,elec_demand_WR_p20_2041,elec_demand_ER_p20_2051,elec_demand_NER_p20_2051,elec_demand_NR_p20_2051,elec_demand_SR_p20_2051,elec_demand_WR_p20_2051,elec_demand_ER_p20_2061,elec_demand_NER_p20_2061,elec_demand_NR_p20_2061,elec_demand_SR_p20_2061,elec_demand_WR_p20_2061,elec_demand_ER_p20_2071,elec_demand_NER_p20_2071,elec_demand_NR_p20_2071,elec_demand_SR_p20_2071,elec_demand_WR_p20_2071,elec_demand_ER_p20_2081,elec_demand_NER_p20_2081,elec_demand_NR_p20_2081,elec_demand_SR_p20_2081,elec_demand_WR_p20_2081
29832.61947,1853.954388,47734.53565,48917.76992,61304.40291,37950.77392,2833.922546,42312.51018,49983.05313,57927.06006,67589.36879,6948.508677,83861.91262,91750.19153,109224.4121,97227.96367,11063.09481,125411.3151,133517.3299,160521.7642,112047.2611,13120.38787,146186.0163,154400.8991,186170.4402,119456.9098,14149.03441,156573.3669,164842.6837,198994.7782,123161.7342,14663.35767,161767.0422,170063.576,205406.9472
28818.09776,1776.961901,45762.8358,47995.11059,59539.67937,36734.05327,2725.446752,41238.33458,48411.44515,55916.23323,65703.69688,6618.613627,79561.43991,89217.22955,104665.3177,94673.34048,10511.7805,117884.5452,130023.0139,153414.4023,109158.1623,12458.36394,137046.0979,150425.9061,177788.9445,116400.5732,13431.65566,146626.8742,160627.3522,189976.2156,120021.7786,13918.30152,151417.2624,165728.0753,196069.8512
28503.87992,1717.454592,45107.23738,47236.52212,58940.00629,36172.04555,2615.133528,40038.46321,47151.66718,54784.70701,64447.70652,6351.380177,76913.84839,86362.4474,102135.1403,92723.3675,10087.62683,113789.2336,125573.2276,149485.5737,106861.198,11955.75015,132226.9262,145178.6177,173160.7903,113930.1132,12889.81181,141445.7725,154981.3128,184998.3986,117464.5709,13356.84264,146055.1956,159882.6603,190917.2028
28303.33624,1684.209045,44760.99285,46790.53896,58880.09613,35802.52684,2551.222162,39340.95949,46216.89284,54378.46405,63565.26558,6170.249425,75077.47645,84172.15921,100860.2098,91328.00432,9789.276689,110813.9934,122127.4256,147341.9555,105209.3737,11598.79032,128682.2519,141105.0588,170582.8283,112150.0584,12503.54714,137616.3811,150593.8754,182203.2647,115620.4007,12955.92554,142083.4458,155338.2837,188013.483
27726.20795,1683.344378,43903.83359,47119.46505,57790.06898,35613.4739,2554.856918,40082.61705,47193.06863,54640.46166,63338.4982,6206.139013,75487.42647,86872.58845,100693.5897,91063.52249,9857.421108,110892.2359,126552.1083,146746.7177,104926.0346,11683.06215,128594.6406,146391.8682,169773.2817,111857.2907,12595.88268,137445.843,156311.7481,181286.5637,115322.9188,13052.29294,141871.4441,161271.6881,187043.2047
27034.87744,1798.634449,43831.2381,48228.08942,58590.65614,34719.77654,2721.187515,40358.00147,48926.33508,55774.91191,61667.42384,6520.739842,75680.41067,89995.29209,102549.5631,88615.07114,10320.29217,111002.8199,131064.2491,149324.2142,102088.8948,12220.06833,128664.0245,151598.7276,172711.5398,108825.8066,13169.95641,137494.6268,161865.9669,184405.2025,112194.2625,13644.90046,141909.9279,166999.5865,190252.0339
26361.62202,1973.917911,42664.32088,49685.65047,59422.59441,34962.32157,2969.415888,62945.70952,74232.6314,90390.48365,60841.47914,6420.212356,109390.9447,127544.8092,156206.5597,86720.63671,9871.008824,155836.1799,180856.987,222022.6358,99660.21549,11596.40706,179058.7975,207513.0759,254930.6739,106130.0049,12459.10617,190670.1063,220841.1204,271384.6929,109364.8996,12890.45573,196475.7607,227505.1426,279611.7024
28175.93659,2061.539945,48202.83795,52231.39502,61693.23545,37174.83848,3127.639844,71126.38729,81746.08961,98020.1609,65122.21211,6761.558971,128486.7685,139594.3403,171282.6394,93069.58575,10395.4781,185847.1497,197442.591,244545.1179,107043.2726,12212.43766,214527.3403,226366.7164,281176.3571,114030.116,13120.91744,228867.4356,240828.7791,299491.9767,117523.5377,13575.15733,236037.4833,248059.8104,308649.7865
28486.95549,2025.702333,49994.94522,54666.42034,64254.75451,37739.01228,2960.271905,75892.29525,86835.90698,104721.1442,63787.91941,6152.026152,132454.3714,144926.2468,178244.8125,89836.82654,9343.780399,189016.4476,203016.5867,251768.4808,102861.2801,10939.65752,217297.4857,232061.7566,288530.315,109373.5069,11737.59608,231438.0047,246584.3416,306911.2321,112629.6203,12136.56536,238508.2643,253845.634,316101.6906
28394.50565,1970.300742,50420.45757,58020.93873,64631.36042,38458.14859,2841.200775,80724.35443,94393.00063,109938.9949,63780.64758,5794.184192,138883.6495,156783.7121,184668.2059,89103.14656,8747.167609,197042.9446,219174.4235,259397.417,101764.3961,10223.65932,226122.5922,250369.7793,296762.0225,108095.0208,10961.90517,240662.4159,265967.4571,315444.3252,111260.3332,11331.0281,247932.3278,273766.2961,324785.4766
