"col","resource","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"blue","offshore_wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue3","onshore_wind",1175.80638416865,1137.66016477798,1109.17619804503,1240.44664263045,1257.10822684181,1182.1658035927,1204.06711625027,1101.53294567815,1186.72816415672,1082.14070293029,1055.30553331372,995.41723352612,1128.76395413842,1249.70937282453,1062.12616648174,1279.20885770958,1277.28063352242,1306.16022610791,1311.31711018266,1571.02534125878,2022.43318809822,1823.63772981413,1855.25261386402,2428.97669184662,2080.53705037909,2242.37053802195,2744.20285687254,2796.58568849725,2758.24521270956,2673.14000410084,2828.94108578716,2745.52101937424,2277.26417163929,2037.30427559977,1646.62219881813,1647.15387530045,1824.64542423608,1573.85557130611,1122.66517947458,935.790825000181,761.048702186993,687.130854286971,793.802269054339,874.519613908453,919.724276631718,1190.91451742064,1093.46515682391,1383.80699081518,1327.00633364907,1298.27479059857,1426.9873747852,1308.2187843941
"green","NG_OCGT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green4","NG_CCGT",13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912,13028.49912
"grey","coal",58547.0800082651,58362.8222313547,58298.8297396061,57939.8898133985,56580.3744254833,56315.2069181265,56050.0041758848,56325.64712775,56541.7760501724,57716.1459058134,57974.6964108335,58018.0146700774,57604.7198135465,48541.1303896781,49035.3781066243,48571.5723680607,48496.6306909623,47828.6435387704,47565.025724219,47032.217540324,45660.9164350412,46310.1112705168,47087.2892307783,45737.5175882608,46925.5116530535,46568.8664415666,33659.096471281,31860.7013396448,32014.1362588832,32048.0279487579,31348.1838410672,31704.0689446895,32806.0224822591,33250.1825532991,35126.624093821,38556.5746628764,38137.0864562538,38820.2750451569,39911.5007612893,44531.0882089579,46242.5955282596,46495.476483073,46040.9642663455,49436.2932943384,54481.6355545308,53863.2264974789,54026.8467387919,52970.1331979783,52183.6887157345,52282.9931525125,51590.3972477696,52031.3249778908
"orange1","solar_RT",287.830421348993,309.86443125332,314.696244287991,317.576843170956,342.836876711756,349.396701816882,355.827959564966,359.974889509685,355.629434914597,365.803724251821,354.421709514764,363.60252931426,364.330230539829,361.307320796515,357.181515849574,353.329894352218,357.373052728273,343.338475185716,335.983605442324,326.726907391986,333.131777745625,321.179484286007,308.922899620614,293.349230306962,275.973264266314,269.394262355601,264.490383428694,263.981303881611,263.352678257225,264.081184905167,268.035779639088,267.882763150826,275.965200383419,285.698220695688,290.831033110821,299.606389495183,291.158191577246,289.944527449923,299.643110113034,320.865354573364,320.583148849011,319.133284399561,325.248716216838,316.497026506992,312.320988148726,308.506143782456,309.967468003918,299.130054338666,295.202791597771,296.129423252123,314.117588220794,307.535651829048
"orange3","solar_GM",1528.35605924703,1612.20757065345,1659.39212146342,1657.20666786997,1771.92816547544,1814.98883577221,1884.16872053574,1881.19150285538,1865.07280134666,1909.86855991072,1853.03141056432,1887.79064067991,1905.64870026995,1881.04872809045,1866.26160057457,1823.52053765088,1848.97445937075,1781.38371659924,1729.04076222234,1674.46159475432,1720.80374947914,1667.03521491302,1604.38757382461,1542.44561184409,1471.51940317314,1447.38376111833,1414.14578196487,1381.86393956764,1364.4307176012,1436.34359091269,1437.27481199897,1417.78930856499,1472.8361359148,1539.77011999661,1550.62414843732,1593.17277973474,1578.34691350868,1579.17822794564,1619.47825718557,1713.19554975496,1692.7366788781,1675.1579178486,1729.45151761658,1641.74937782328,1634.59841379031,1594.57793114438,1630.41368416446,1552.14994808499,1560.32978140685,1551.61295141676,1659.54834358107,1622.79738173884
"purple2","hydroelectric_small",178.164,178.164,178.164,178.164,167.054,161.196,161.196,161.196,169.074,186.648,186.648,186.648,186.648,252.096,254.52,254.52,254.52,307.04,339.36,339.36,339.36,350.975,381.78,381.78,381.78,381.78,460.56,466.62,466.62,466.62,491.365,509.04,509.04,509.04,488.84,424.2,424.2,424.2,424.2,348.45,339.36,339.36,339.36,269.67,212.1,212.1,212.1,203.515,169.68,169.68,169.68,169.68
"purple4","hydroelectric",1645.812,1645.812,1645.812,1645.812,1543.182,1489.068,1489.068,1489.068,1561.842,1724.184,1724.184,1724.184,1724.184,2328.768,2351.16,2351.16,2351.16,2836.32,3134.88,3134.88,3134.88,3242.175,3526.74,3526.74,3526.74,3526.74,4254.48,4310.46,4310.46,4310.46,4539.045,4702.32,4702.32,4702.32,4515.72,3918.6,3918.6,3918.6,3918.6,3218.85,3134.88,3134.88,3134.88,2491.11,1959.3,1959.3,1959.3,1879.995,1567.44,1567.44,1567.44,1567.44
"red4","biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
