Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
1,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.099283333,0.166505952,0.299260317,0,0,0,0,0,0,0,0.1728,0.13004,0.140064912,0.211525667,0.188233613
2,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.108533333,0.153886905,0.299711111,0,0,0,0,0,0,0,0.163488889,0.11613,0.136629435,0.202515,0.179248319
3,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.11005,0.148870238,0.312566667,0,0,0,0,0,0,0,0.171288889,0.1064,0.128844834,0.188789333,0.174275714
4,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1225,0.14507619,0.310312698,0,0,0,0,0,0,0,0.166411111,0.107575,0.121551267,0.172273167,0.16500563
5,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1419,0.140429762,0.290080952,0,0,0,0,0,0,0,0.177377778,0.09956,0.116792593,0.166043167,0.156154958
6,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.162,0.147003571,0.284761905,0,0,0,0,0,0,0,0.178655556,0.11333,0.097943665,0.154603833,0.153872437
7,0.21,0.21,0.21,0.21,0.21,0,0.00806,0,0,0,0.197333333,0.144884524,0.265531746,0,0,0,0.00805,0,0,0,0.170477778,0.11641,0.092490838,0.143359833,0.157269748
8,0.21,0.21,0.21,0.21,0.21,0.10495,0.17279,0.018014074,0.054361667,0.0289075,0.20645,0.136190476,0.244990476,0,0,0.100011111,0.203035,0.01717037,0.053807756,0.032727227,0.164422222,0.11529,0.08557037,0.1362855,0.158599412
9,0.21,0.21,0.21,0.21,0.21,0.2735,0.333945,0.182562963,0.231846,0.206119286,0.20875,0.135363095,0.226588889,0,0,0.253911111,0.371575,0.191951072,0.232949218,0.210065966,0.120577778,0.094365,0.085382261,0.118547167,0.150664706
10,0.21,0.21,0.21,0.21,0.21,0.409,0.471805,0.328851111,0.399018667,0.378237857,0.208333333,0.142695238,0.200060317,0,0,0.407411111,0.51056,0.332676608,0.398370026,0.383049748,0.081844444,0.091075,0.06655731,0.088151167,0.111600336
11,0.21,0.21,0.21,0.21,0.21,0.512983333,0.553195,0.440328148,0.522048333,0.504246429,0.21185,0.146459524,0.176563492,0,0,0.504766667,0.576635,0.417912281,0.522414692,0.513952605,0.058288889,0.08943,0.051592788,0.079756,0.072039412
12,0.21,0.21,0.21,0.21,0.21,0.549716667,0.55592,0.504000741,0.594229667,0.588880714,0.196483333,0.14082381,0.156890476,0,0,0.517233333,0.59504,0.472101559,0.600026231,0.593514958,0.055633333,0.08354,0.049024561,0.0785555,0.052225126
13,0.21,0.21,0.21,0.21,0.21,0.544483333,0.54096,0.538097037,0.608654,0.615776429,0.16735,0.130617857,0.141490476,0,0,0.513,0.5935,0.516230409,0.621752564,0.621950588,0.056833333,0.08976,0.050061988,0.081259,0.047516639
14,0.21,0.21,0.21,0.21,0.21,0.501783333,0.49559,0.538340741,0.592521,0.609804286,0.150183333,0.129767857,0.133390476,0,0,0.473511111,0.54115,0.543750487,0.599102846,0.607908655,0.059866667,0.08565,0.054502534,0.085689833,0.049179412
