"elec_demand_ER_p20_2024","elec_demand_NER_p20_2024","elec_demand_NR_p20_2024","elec_demand_SR_p20_2024","elec_demand_WR_p20_2024"
29832.6194712449,1853.95438848759,47734.5356495948,48917.7699186805,61304.4029100318
28818.0977576949,1776.96190139101,45762.8357991684,47995.1105850783,59539.6793722064
28503.8799209026,1717.45459220825,45107.2373756207,47236.5221214744,58940.0062907821
28303.3362355288,1684.20904508725,44760.992846433,46790.5389637436,58880.0961300489
27726.207952676,1683.34437799485,43903.8335880038,47119.4650526731,57790.0689848963
27034.8774433296,1798.63444919958,43831.2381040341,48228.0894242607,58590.6561441362
26361.6220240574,1973.91791128242,42664.3208784688,49685.6504684825,59422.5944139529
28175.9365877944,2061.53994488909,48202.8379501822,52231.3950168412,61693.2354517869
28486.9554944095,2025.70233285037,49994.9452206277,54666.4203369072,64254.7545079217
28394.5056544,1970.30074193816,50420.4575675325,58020.9387310535,64631.3604213168
28441.7667246678,1966.93107920679,52481.0645682982,59387.0374714985,65953.8664173851
28813.0303250997,1998.45722645415,52377.9691208626,60117.9690347045,66361.276821554
29084.6076941753,2036.28024900621,51250.4081407153,59972.4918212583,65901.3475182729
29132.9825340167,2045.6787524152,50888.44018391,59351.578929721,65987.0921085413
29395.6456202026,2079.588944513,51561.6585939247,59495.5460805721,66692.3087457135
29464.2051574483,2103.63337119749,51881.3669568741,57940.7747713309,66740.133143368
28977.4009226168,2171.30130159565,52510.8703981261,55160.8229083847,65849.5065115425
28365.1621971993,2461.1401069147,52589.4483545653,51432.858761774,62638.9162149095
30679.0909509007,2800.30025483904,51015.867102237,49245.4955096815,63115.3700908626
31349.1398506401,2745.87657268719,54567.2157750441,50857.7976859074,63593.0692256506
31421.7999818648,2678.47257568795,54215.2276712225,50232.0269668103,63104.817900026
31390.903875663,2462.12496713657,53557.484167323,50211.3923499076,63040.0254820887
30917.1084759391,2215.88879590395,51139.1581730313,50142.4304184757,62160.6632074339
30143.1068188851,2030.01771603644,49136.1270943901,49005.6990961163,61507.2463319871
28622.6256828105,1853.75971050957,55628.9306421049,42567.3871983514,59612.0174630457
27823.9998484157,1773.58686487097,53541.1741719361,41213.1212752432,58145.3385127168
27544.5161977641,1714.30524956937,52890.1659116356,40393.8418230138,57447.5876088248
27425.6586686982,1687.32837048698,52044.0112844622,39834.2668459386,57054.6195530021
27071.2840284296,1687.38940981754,51219.1281370439,39726.4626622454,56024.9420061022
26675.7143080684,1810.43183308973,50927.7251698749,40691.5777465369,57050.0544653444
26601.5595438504,1982.82934753281,48608.3255362708,41791.2815857603,57861.2173006709
28425.7040445043,2052.70693530058,53099.2098264062,44905.7765568688,59660.0488238394
28560.800190361,2021.75828666764,54449.4477467118,46674.1342814007,61773.4559847924
27819.0343690875,1971.78269399931,55054.2651936334,48737.0914890782,61354.9073127346
27444.586878591,1960.7443166593,57194.5950947517,49401.9936903655,62211.6218943687
27637.432477095,1997.75249962439,57838.3370326901,50317.7399350307,62666.1091757911
27780.560104149,2030.09361766461,58057.2675767886,50377.2012396506,62198.1889886744
27853.7971104935,2040.32847204838,58783.8426425103,49839.1104939314,62522.3687374829
28020.222299417,2065.61596167627,59048.523830964,50300.3825075042,63594.1153224708
28267.8424589169,2088.65348711735,58823.6318459768,50413.9624049593,64070.2495085971
27814.2880822423,2140.07299559423,57837.1122983864,48550.5837560131,63272.3534125862
27047.546171417,2399.43258165652,56058.1326285107,46464.4371909636,60374.3412136736
29580.6454178159,2777.22297250925,54992.7341616162,46400.9312407956,60744.6949937555
30846.9826825926,2733.34766453034,59387.9586618524,47787.9913174167,61202.4724057723
31021.5370003334,2668.35277112867,60058.3652838625,46774.1431399684,60792.93036217
31050.7448110031,2457.98463721552,60095.105241343,46244.8613484856,60604.2089486277
30448.6134205835,2217.27280968265,58817.2414472797,45570.9422396117,60373.5181962168
28948.7870608915,2036.27868918625,56937.5724406097,43695.2553208224,59710.9843694875
30544.4443095776,1783.56142943236,63865.2917381834,42594.306285578,55330.7259575724
30145.6817154729,1664.26063359737,62558.0489783741,41361.3350358302,54484.8657239308
29948.9867787822,1628.05282984231,61768.2596264131,40511.2983214954,53815.5729806013
29814.9756069812,1607.45627028444,60852.6948066398,39963.8818138842,53388.2797237056
29646.9859903081,1651.52253879199,59932.8855022981,40276.7147289022,53182.74357773
29377.7524012551,1743.72692381171,57057.5401516057,41910.9020201962,54593.4303340398
30707.3402355909,2261.86295228738,54261.323057046,44703.0938684102,57091.4911031764
29875.0402126423,2325.52411737049,57900.6505302957,47222.6982348964,56939.4617364827
29827.8529161217,2342.0401723404,59513.3058854624,48682.7810754021,58159.1552814074
28717.6683404565,2180.73360428191,59418.4832640666,50453.8696513836,57904.0749346214
28085.8772176795,2105.29137705485,61237.4965277112,50745.89329112,58365.0468436147
28179.3205574444,2111.73088752461,62312.792456668,51392.6203990955,58774.725492197
28242.2470422127,2125.24159732569,62758.7809500529,50883.9222185674,58336.9923093469
28240.2422340837,2142.33745663612,63000.2861293876,50320.4115917373,58361.1037574997
28355.8149872783,2143.41792713212,63091.6716233971,50915.0207743727,59349.4319411467
28639.5765870915,2222.26358769442,62756.6946632563,51010.7855473685,59415.4489443408
28476.4708324438,2280.7089154606,62589.6991409503,48779.8983254822,58692.8697343246
27740.9555955196,2240.75872679367,61313.0929503951,46626.7586203679,56866.4773112534
30434.2149657405,2705.04571452951,58771.8290615516,46262.1582421296,57466.615361275
32102.9570353631,2646.77464879543,65529.216456253,48061.2770805943,58274.8909810143
32311.9039267908,2670.71574842202,66732.119202375,47069.4305558647,57944.2606879238
32391.2472688611,2641.7495824857,66985.9004350454,46890.8551073835,57302.2777032283
32318.1492758065,2323.72780913254,65789.6829088004,46091.6260088057,56422.7729738195
30765.8552457769,1866.74695939307,64275.0668469725,43942.8927685956,55575.1390575015
31307.7810689204,2680.8431808128,60182.4885276715,37220.9328747598,44277.1758150732
30423.8941978175,2571.06623358742,58923.6172675902,36177.7533155147,43524.5721825066
30023.3737381018,2482.70213135747,57831.8417834858,35582.5529052298,43195.5451843176
29741.8817191145,2393.6954160517,56946.7593269661,35267.1908382028,43147.82701218
29290.4743472534,2255.51307208059,55936.6582248374,35570.7974415525,43357.0636088664
28652.5643532303,2087.85635318326,53614.8712059416,37240.7841271637,44965.1351130948
28723.6515995233,2346.03160706294,52761.0747691609,40862.0824780709,49929.7087816671
29250.0148861477,2504.17720131061,56994.4754997001,44316.9262273755,50949.1054831731
29563.0185072672,2547.49465308278,59240.2707624055,45576.6273372604,51722.3506759693
29530.3670450849,2470.50481625743,59123.9109827954,47126.0676857302,50546.4918094333
29399.1342010991,2483.30019622422,58560.4443412457,47390.2240535736,49771.1857077183
29591.2570804074,2556.83422486693,59062.965206058,47353.467587565,49358.7394938455
29602.1089109356,2616.31283878446,59180.874923072,47120.9039043572,48645.793908596
29374.4668321377,2641.83528182288,59325.7776538427,46339.7182388147,48093.4833564001
29313.5195563689,2667.71977739406,59471.3753186396,46353.2869718232,48221.0987793124
29357.9951091339,2709.8985976097,59376.1020471886,46189.2918202505,48393.4522369164
29037.1774819096,2711.03618652124,59014.8483515536,44948.0024306575,48746.428988374
28449.3972247092,2689.16248552784,58001.8449552345,43872.5558919574,48248.7689213162
30482.7923301572,3126.99822105797,55943.0877619524,44202.8867105688,50657.1926767625
32203.2176820633,3232.42401508345,61500.2821523565,45683.4510997577,51579.4955148234
32289.0401422534,3239.53782639985,62766.2058526801,44166.7031829055,51068.9831057962
32281.0144374744,3186.38269114868,63272.39470058,42853.2284376159,50035.8801998564
32203.9670664969,3018.89597545462,62205.5160139221,40901.2344724905,46755.5230817301
31686.9967620758,2792.56124550117,60780.6192184948,38499.7383510393,44792.1603023211
30927.5719936756,2840.13577883076,60658.0918769991,37391.0224854479,45966.7640159201
30483.9276238069,2743.47698988442,58961.3249092758,36302.6058369216,45119.3679482335
30234.901495029,2671.9068145092,57842.9133476151,35743.1718550759,44768.5516259893
