"TimeIndex","EG_SOLARGM_2025_ER","EG_SOLARGM_2025_NER","EG_SOLARGM_2025_NR","EG_SOLARGM_2025_SR","EG_SOLARGM_2025_WR","EG_SOLARRF_2025_ER","EG_SOLARRF_2025_NER","EG_SOLARRF_2025_NR","EG_SOLARRF_2025_SR","EG_SOLARRF_2025_WR","EG_WINDOFF_ALL_ER","EG_WINDOFF_ALL_SR","EG_WINDOFF_ALL_WR","EG_WINDON_2025_ER","EG_WINDON_2025_NER","EG_WINDON_2025_NR","EG_WINDON_2025_SR","EG_WINDON_2025_WR","EG_BIOMASS_2025_ALL","EG_COAL_2025_ALL","EG_LH_2025_ALL","EG_SH_2025_ALL","EG_CCGT_2025_ALL","EG_OCGT_2025_ALL","EG_PHWR_2025_ALL","EG_SMR_2025_ALL"
1,0,0,0,0,0,0,0,0,0,0,0.53948817,0.256770614,0.320714694,0.43443318,0.489388518,0.399260314,0.285041791,0.353638136,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
2,0,0,0,0,0,0,0,0,0,0,0.537536136,0.23244579,0.313027778,0.42822106,0.46977956,0.395814269,0.254653282,0.343814999,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
3,0,0,0,0,0,0,0,0,0,0,0.530437121,0.204163518,0.306026682,0.420926327,0.452190462,0.386013572,0.224631879,0.332907053,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
4,0,0,0,0,0,0,0,0,0,0,0.506680249,0.166711966,0.277410855,0.392326746,0.412377838,0.362495571,0.187102342,0.306388764,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
5,0,0,0,0,0,0,0,0,0,0,0.481308063,0.134070051,0.250235527,0.373461856,0.388593057,0.34040042,0.156235268,0.280321137,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
6,0,0.029033741,0,0,0,0,0.012539715,0,0,0,0.459486871,0.113309396,0.241067632,0.376500491,0.388683147,0.3249033,0.139933297,0.265872122,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
7,0.095342215,0.135691703,0.019295287,0.033568308,0.016076465,0.076436704,0.0922557,0.020923844,0.021244713,0,0.437385971,0.097771282,0.227264871,0.371591574,0.382078045,0.307934998,0.126267812,0.248237833,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
8,0.296328085,0.266471177,0.156714418,0.195770869,0.163902325,0.251890628,0.221650844,0.137473569,0.146118665,0.091284356,0.422519545,0.086442241,0.20754349,0.342512149,0.379211657,0.274745802,0.104890072,0.210130884,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
9,0.477830717,0.382247218,0.366566129,0.415316649,0.396045774,0.432787735,0.34788585,0.325051603,0.343332314,0.290247248,0.409564075,0.077798902,0.183175913,0.305641643,0.366714672,0.209706731,0.087101048,0.15365427,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
10,0.591795804,0.455560959,0.541318504,0.580226833,0.580871073,0.564595566,0.442483004,0.505017297,0.511089036,0.487985752,0.396458977,0.069863753,0.160638807,0.292622123,0.346426054,0.169412087,0.076769009,0.124096976,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
